Id,Name,Name_Lang,Branche,Typ,Adresse,PLZ,Ort,Land,E-Mail,Tel,Fax,Pruefung
sozialversicherung_bund_1_20-08-2020,AUVA,Allgemeine Unfallversicherungsanstalt,Gesundheit,Sozialversicherungsträger,Adalbert-Stifter-Straße 65,1200,Wien,Österreich,kontakt@auva.at,+435939320000,+435939320606,20.08.2020
sozialversicherung_bund_2_20-08-2020,KFA der Tiroler Gemeindebeamten,Kranken- und Unfallfürsorge der Tiroler Gemeindebeamten,Gesundheit,Krankenfürsorgeanstalt,Adamgasse 7a,6020,Innsbruck,Österreich,,+43512572838,+4351257283815,20.08.2020
sozialversicherung_bund_3_20-08-2020,KFA der Tiroler Landesbeamten einschließlich der LandeslehrerInnen,Kranken- und Unfallfürsorge der Tiroler Landesbeamten einschließlich der LandeslehrerInnen,Gesundheit,Krankenfürsorgeanstalt,Wiihelm-Greil-Straße 17/II,6020,Innsbruck,Österreich,kuf@tirol.gv.at,+435125082152,+43512508742155,20.08.2020
sozialversicherung_bund_4_20-08-2020,KFA der Beamten der Stadtgemeinde Baden,Krankenfürsorge der Beamten der Stadtgemeinde Baden,Gesundheit,Krankenfürsorgeanstalt,Hauptplatz 1,2500,Baden,Österreich,,+4373270701241,,20.08.2020
sozialversicherung_bund_5_20-08-2020,KFA für die Beamten der Landeshauptstadt Linz,Krankenfürsorge für die Beamten der Landeshauptstadt Linz,Gesundheit,Krankenfürsorgeanstalt,Hauptplatz 1,4020,Linz,Österreich,mkf@mag.linz.at,+4373270701241,,20.08.2020
sozialversicherung_bund_6_20-08-2020,KFA für die Beamten der Stadt Wels,Krankenfürsorge für die Beamten der Stadt Wels,Gesundheit,Krankenfürsorgeanstalt,Stadtpiatz 1,4600,Wels,Österreich,kfw@wels.gv.at,+4372422354800,,20.08.2020
sozialversicherung_bund_7_20-08-2020,KFA für oberösterreichische Gemeinden,Kranken- und Unfallfürsorge für oberösterreichische Gemeinden,Gesundheit,Krankenfürsorgeanstalt,Ferihumerstraße 8,4041,"Linz, Donau Postfach",Österreich,office@kfg.ooe.gv.at,+437327880000,+4373278800030,20.08.2020
sozialversicherung_bund_8_20-08-2020,KFA für oberösterreichische Landesbedienstete,Kranken- und Unfallfürsorge für oberösterreichische Landesbedienstete,Gesundheit,Krankenfürsorgeanstalt,Promenade 28,4010,"Linz, Donau",Österreich,klf.post@ooe.gv.at,+43732772013861,,20.08.2020
sozialversicherung_bund_9_20-08-2020,Oberösterreichische Lehrer-Kranken- und Unfallfürsorge,Oberösterreichische Lehrer-Kranken- und Unfallfürsorge,Gesundheit,Krankenfürsorgeanstalt,Leonfeldner Straße 11,4041,"Linz, Donau Postfach",Österreich,office@kfg.ooe.gv.at,+437326682210,,20.08.2020
sozialversicherung_bund_10_20-08-2020,KFA der Beamten der Stadt Villach,Krankenfürsorgeanstalt der Beamten der Stadt Villach,Gesundheit,Krankenfürsorgeanstalt,Rathausplatz 1,9500,Villach,Österreich,kfa@villach.at,+4342422051919,,20.08.2020
sozialversicherung_bund_11_20-08-2020,KFA der Bediensteten der Stadt Wien,Krankenfürsorgeanstalt der Bediensteten der Stadt Wien,Gesundheit,Krankenfürsorgeanstalt,Schlesingerplatz 5,1081,Wien Postfach,Österreich,generaldirektion@kfa.co.at,+431404360,+43140436099,20.08.2020
sozialversicherung_bund_12_20-08-2020,KFA der Magistratsbeamten der Landeshauptstadt Salzburg,Krankenfürsorgeanstalt der Magistratsbeamten der Landeshauptstadt Salzburg,Gesundheit,Krankenfürsorgeanstalt,Mirabellplatz 4,5024,Salzburg,Österreich,kfa@stadt-salzburg.at,+4366280722530,,20.08.2020
sozialversicherung_bund_13_20-08-2020,KFA für Beamte der Stadt Steyr,Krankenfürsorgeanstalt für Beamte der Stadt Steyr,Gesundheit,Krankenfürsorgeanstalt,"Postfach 200, Stadtplatz 27",4400,Steyr,Österreich,kfa@steyr.gv.at,+437252575,,20.08.2020
sozialversicherung_bund_14_20-08-2020,KFA für die Beamten der Landeshauptstadt Graz,Krankenfürsorgeanstalt für die Beamten der Landeshauptstadt Graz,Gesundheit,Krankenfürsorgeanstalt,Hauptplatz 1,8011,Graz Postfach,Österreich,kfa@stadt.graz.at,+433168725900,,20.08.2020
sozialversicherung_bund_15_20-08-2020,KFA der Beamten der Stadtgemeinde Hallein,Krankenfürsorgeeinrichtung der Beamten der Stadtgemeinde Hallein,Gesundheit,Krankenfürsorgeanstalt,Schöndorferplatz 14,5400,Hallein,Österreich,stadtamt@hallein.gv.at,+4362458988168,,20.08.2020
sozialversicherung_bund_16_20-08-2020,KFA der Beamten der Gemeinde Bad Gastein,Krankenversicherungsfonds der Beamten der Gemeinde Bad Gastein,Gesundheit,Krankenfürsorgeanstalt,Kaiser-Franz-Josef-Straße 1,5640,Bad Gastein,Österreich,,+436434374423,,20.08.2020
sozialversicherung_bund_17_20-08-2020,Pensionsinstitut der Linz AG,Pensionsinstitut der Linz AG,Gesundheit,Zuschusskasse,"Postfach 1300, Wiener Straße 151",4021,"Linz, Donau Postfach",Österreich,pensionsinstitut@linzag.at,+4373234003518,+4373234003522,20.08.2020
sozialversicherung_bund_18_20-08-2020,PVA,Pensionsversicherungsanstalt,Gesundheit,Sozialversicherungsträger,Friedrich-Hillegeist-Straße 1,1021,Wien Postfach,Österreich,pva@pensionsversicherung.at ,+4350303,+435030328850,20.08.2020
sozialversicherung_bund_19_20-08-2020,VA des österreichischen Notariates,Versorgungsanstalt des österreichischen Notariates,Gesundheit,Sozialversicherungsträger,"Florianigasse 2, Postfach 15",1080,Wien,Österreich,office@van.co.at,+43140513810,,20.08.2020
sozialversicherung_bund_20_20-08-2020,BUAK,Bauarbeiter- Urlaubs- und Abfertigungskasse,Gesundheit,Sozialversicherungsträger,Kliebergasse 1A,1050,Wien,Österreich,kommunikation@buak.at,+43579579,,20.08.2020
sozialversicherung_bund_21_20-08-2020,ELGA,ELGA GmbH,Gesundheit,Dienstleister,Treustraße 35-43/ Stg. 4/ 1. Stock,1200,Wien,Österreich,office@elga.gv.at,+4312127050,,20.08.2020
sozialversicherung_bund_22_20-08-2020,GSZ,Gemeinde-Servicezentrum,Gesundheit,Dienstleister,Gabelsbergerstraße 5,9020,Klagenfurt am Wörthersee,Österreich,gsz@ktn.gde.at,+4346355111300,+4346355111222,20.08.2020
sozialversicherung_bund_23_20-08-2020,Gemeindeverband für das Pensionsrecht der Tiroler Gemeindebeamten,Gemeindeverband für das Pensionsrecht der Tiroler Gemeindebeamten,Gesundheit,Dienstleister,Adamgasse 7 A,6020,Innsbruck,Österreich,,+43512572838,,20.08.2020
sozialversicherung_bund_24_20-08-2020,Dachverband der Sozialversicherungsträger,Dachverband der Sozialversicherungsträger,Gesundheit,Dienstleister,Kundmanngasse 21,1030,Wien,Österreich,posteingang.allgemein@sozialversicherung.at,+431711320,,20.08.2020
sozialversicherung_bund_25_20-08-2020,HK-SKA,HK-SKA Betriebs-GmbH,Gesundheit,Dienstleister,Gartenstraße 9,4820,Bad Ischl,Österreich,info@herzreha.at,+436132278010,+436132278018190,20.08.2020
sozialversicherung_bund_26_20-08-2020,IEF-Service,IEF-Service GmbH,Gesundheit,Dienstleister,Linke Wienzeile 246,1150,Wien,Österreich,office@insolvenzentgelt.at,+43120512120,,20.08.2020
sozialversicherung_bund_27_20-08-2020,IT-Services der Sozialversicherung,IT-Services der Sozialversicherung GmbH,Gesundheit,Dienstleister,Johann-Böhm-Platz 1,1020,Wien,Österreich,office@itsv.at,+43501248445600,+43501248445080,20.08.2020
sozialversicherung_bund_28_20-08-2020,SVC,Sozialversicherungs-Chipkarten Betriebs- und Errichtungsgesellschaft m.b.H.,Gesundheit,Dienstleister,Ernst-Melchior-Gasse 22,1020,Wien,Österreich,info@svc.co.at,+43501247140,+43501247143776,20.08.2020
sozialversicherung_bund_29_20-08-2020,SVD,SVD Büromanagement GmbH,Gesundheit,Dienstleister,Dresdner Straße 45,1200,Wien,Österreich,office@svdgmbh.at,+4317981414,+4317981414200,20.08.2020
sozialversicherung_bund_30_20-08-2020,BVAEB,"Versicherungsanstalt öffentlich Bediensteter, Eisenbahnen und Bergbau",Gesundheit,Sozialversicherungsträger,Josefstätter Straße 80,1080,Wien,Österreich,postoffice@bvaeb.sv.at,+4350405,+435040522900,20.08.2020
sozialversicherung_bund_31_20-08-2020,ÖGK,Österreichische Gesundheitskasse,Gesundheit,Sozialversicherungsträger,"Haidingergasse 1, Postfach 7",1006,Wien,Österreich,office@oegk.at,+43507660,,20.08.2020
sozialversicherung_bund_32_20-08-2020,SVS,Sozialversicherungsanstalt der Selbstständigen,Gesundheit,Sozialversicherungsträger,Wiedner Hauptstraße 84-86,1051,Wien Postfach,Österreich,dsb@svs.at,+4350808808,,20.08.2020
sozialversicherung_bund_33_20-08-2020,Allianz Vorsorgekasse,Allianz Vorsorgekasse AG,Gesundheit,Vorsorgekasse,Hietzinger Kai 101-105,1130,Wien,Österreich,servicekasse@allianz.at,+435900980181,+435900940128,20.08.2020
sozialversicherung_bund_34_20-08-2020,APK Vorsorgekasse,APK Vorsorgekasse AG,Gesundheit,Vorsorgekasse,Thomas-Klestil-Platz 13,1030,Wien,Österreich,office@apk-vk.at,+435027550,+43502755609,20.08.2020
sozialversicherung_bund_35_20-08-2020,BONUS Vorsorgekasse,BONUS Vorsorgekasse AG,Gesundheit,Vorsorgekasse,Traungasse 14-16,1030,Wien,Österreich,kundenservice@bonusvorsorge.at,+4319949974,+43199499741999,20.08.2020
sozialversicherung_bund_36_20-08-2020,BUAK Betriebliche Vorsorgekasse,BUAK Betriebliche Vorsorgekasse GesmbH,Gesundheit,Vorsorgekasse,Kliebergasse 1a,1050,Wien,Österreich,buak-bvk@buak.at,+435795793000,+4357957993099,20.08.2020
sozialversicherung_bund_37_20-08-2020,fair-finance Vorsorgekasse,fair-finance Vorsorgekasse AG,Gesundheit,Vorsorgekasse,Alser Straße 21,1080,Wien,Österreich,office@fair-finance.at,+43140571710,+431405717171,20.08.2020
sozialversicherung_bund_38_20-08-2020,Niederösterreichische Vorsorgekasse,Niederösterreichische Vorsorgekasse AG,Gesundheit,Vorsorgekasse,Neue Herrengasse 10,3100,St. Pölten,Österreich,office@noevk.at,+432742905557100+432742905557120,,20.08.2020
sozialversicherung_bund_39_20-08-2020,Valida Plus,Valida Plus AG,Gesundheit,Vorsorgekasse,Mooslackengasse 12,1190,Wien,Österreich,office@valida.at,+431316480,+431316486010,20.08.2020
sozialversicherung_bund_40_20-08-2020,VBV – Vorsorgekasse,VBV – Vorsorgekasse AG,Gesundheit,Vorsorgekasse,Obere Donaustraße 49-53,1020,Wien,Österreich,info@vorsorgekasse.at,+431217018500,+4312170178260,20.08.2020
