status,id,display_name,legal_name,url,department,street_address,city,neighbourhood,postal_code,region,country,requires_identification,operating_countries,custom_identifier,identifiers,generic_url,generic_email,generic_note,access_url,access_email,access_note,deletion_url,deletion_email,deletion_note,portability_url,portability_email,portability_note,correction_url,correction_email,correction_note
,,AUVA,Allgemeine Unfallversicherungsanstalt,,,Adalbert-Stifter-Straße 65,Wien,,1200,Wien,AUSTRIA,,,sozialversicherung_bund_1_20-08-2020,,,kontakt@auva.at,"Phone: +435939320000, Fax: +435939320606",,,,,,,,,,,,
,,KFA der Tiroler Landesbeamten einschließlich der LandeslehrerInnen,Kranken- und Unfallfürsorge der Tiroler Landesbeamten einschließlich der LandeslehrerInnen,,,Wilhelm-Greil-Straße 17/II,Innsbruck,,6020,Tirol,AUSTRIA,,,sozialversicherung_bund_3_20-08-2020,,,kuf@tirol.gv.at,"Phone: +435125082152, Fax: +43512508742155",,,,,,,,,,,,
,,KFA für die Beamten der Landeshauptstadt Linz,Krankenfürsorge für die Beamten der Landeshauptstadt Linz,,,Hauptplatz 1,Linz,,4020,Oberösterreich,AUSTRIA,,,sozialversicherung_bund_5_20-08-2020,,,mkf@mag.linz.at,"Phone: +4373270701241, Fax: ",,,,,,,,,,,,
,,KFA für die Beamten der Stadt Wels,Krankenfürsorge für die Beamten der Stadt Wels,,,Stadtpiatz 1,Wels,,4600,Oberösterreich,AUSTRIA,,,sozialversicherung_bund_6_20-08-2020,,,kfw@wels.gv.at,"Phone: +4372422354800, Fax: ",,,,,,,,,,,,
,,KFA für oberösterreichische Gemeinden,Kranken- und Unfallfürsorge für oberösterreichische Gemeinden,,,Ferihumerstraße 8,"Linz, Donau Postfach",,4041,Oberösterreich,AUSTRIA,,,sozialversicherung_bund_7_20-08-2020,,,office@kfg.ooe.gv.at,"Phone: +437327880000, Fax: +4373278800030",,,,,,,,,,,,
,,KFA für oberösterreichische Landesbedienstete,Kranken- und Unfallfürsorge für oberösterreichische Landesbedienstete,,,Promenade 28,"Linz, Donau",,4010,Oberösterreich,AUSTRIA,,,sozialversicherung_bund_8_20-08-2020,,,klf.post@ooe.gv.at,"Phone: +43732772013861, Fax: ",,,,,,,,,,,,
,,Oberösterreichische Lehrer-Kranken- und Unfallfürsorge,Oberösterreichische Lehrer-Kranken- und Unfallfürsorge,,,Leonfeldner Straße 11,"Linz, Donau Postfach",,4041,Oberösterreich,AUSTRIA,,,sozialversicherung_bund_9_20-08-2020,,,office@kfg.ooe.gv.at,"Phone: +437326682210, Fax: ",,,,,,,,,,,,
,,KFA der Beamten der Stadt Villach,Krankenfürsorgeanstalt der Beamten der Stadt Villach,,,Rathausplatz 1,Villach,,9500,Kärnten,AUSTRIA,,,sozialversicherung_bund_10_20-08-2020,,,kfa@villach.at,"Phone: +4342422051919, Fax: ",,,,,,,,,,,,
,,KFA der Bediensteten der Stadt Wien,Krankenfürsorgeanstalt der Bediensteten der Stadt Wien,,,Schlesingerplatz 5,Wien Postfach,,1081,Wien,AUSTRIA,,,sozialversicherung_bund_11_20-08-2020,,,generaldirektion@kfa.co.at,"Phone: +431404360, Fax: +43140436099",,,,,,,,,,,,
,,KFA der Magistratsbeamten der Landeshauptstadt Salzburg,Krankenfürsorgeanstalt der Magistratsbeamten der Landeshauptstadt Salzburg,,,Mirabellplatz 4,Salzburg,,5024,Salzburg,AUSTRIA,,,sozialversicherung_bund_12_20-08-2020,,,kfa@stadt-salzburg.at,"Phone: +4366280722530, Fax: ",,,,,,,,,,,,
,,KFA für Beamte der Stadt Steyr,Krankenfürsorgeanstalt für Beamte der Stadt Steyr,,,"Postfach 200, Stadtplatz 27",Steyr,,4400,Oberösterreich,AUSTRIA,,,sozialversicherung_bund_13_20-08-2020,,,kfa@steyr.gv.at,"Phone: +437252575, Fax: ",,,,,,,,,,,,
,,KFA für die Beamten der Landeshauptstadt Graz,Krankenfürsorgeanstalt für die Beamten der Landeshauptstadt Graz,,,Hauptplatz 1,Graz Postfach,,8011,Steiermark,AUSTRIA,,,sozialversicherung_bund_14_20-08-2020,,,kfa@stadt.graz.at,"Phone: +433168725900, Fax: ",,,,,,,,,,,,
,,KFA der Beamten der Stadtgemeinde Hallein,Krankenfürsorgeeinrichtung der Beamten der Stadtgemeinde Hallein,,,Schöndorferplatz 14,Hallein,,5400,Salzburg,AUSTRIA,,,sozialversicherung_bund_15_20-08-2020,,,stadtamt@hallein.gv.at,"Phone: +4362458988168, Fax: ",,,,,,,,,,,,
,,Pensionsinstitut der Linz AG,Pensionsinstitut der Linz AG,,,"Postfach 1300, Wiener Straße 151","Linz, Donau Postfach",,4021,Oberösterreich,AUSTRIA,,,sozialversicherung_bund_17_20-08-2020,,,pensionsinstitut@linzag.at,"Phone: +4373234003518, Fax: +4373234003522",,,,,,,,,,,,
,,PVA,Pensionsversicherungsanstalt,,,Friedrich-Hillegeist-Straße 1,Wien Postfach,,1021,Wien,AUSTRIA,,,sozialversicherung_bund_18_20-08-2020,,,pva@pensionsversicherung.at,"Phone: +4350303, Fax: +435030328850",,,,,,,,,,,,
,,VA des österreichischen Notariates,Versorgungsanstalt des österreichischen Notariates,,,"Florianigasse 2, Postfach 15",Wien,,1080,Wien,AUSTRIA,,,sozialversicherung_bund_19_20-08-2020,,,office@van.co.at,"Phone: +43140513810, Fax: ",,,,,,,,,,,,
,,BUAK,Bauarbeiter- Urlaubs- und Abfertigungskasse,,,Kliebergasse 1A,Wien,,1050,Wien,AUSTRIA,,,sozialversicherung_bund_20_20-08-2020,,,kommunikation@buak.at,"Phone: +43579579, Fax: ",,,,,,,,,,,,
,,ELGA,ELGA GmbH,,,Treustraße 35-43/ Stg. 4/ 1. Stock,Wien,,1200,Wien,AUSTRIA,,,sozialversicherung_bund_21_20-08-2020,,,office@elga.gv.at,"Phone: +4312127050, Fax: ",,,,,,,,,,,,
,,GSZ,Gemeinde-Servicezentrum,,,Gabelsbergerstraße 5,Klagenfurt am Wörthersee,,9020,Kärnten,AUSTRIA,,,sozialversicherung_bund_22_20-08-2020,,,gsz@ktn.gde.at,"Phone: +4346355111300, Fax: +4346355111222",,,,,,,,,,,,
,,Dachverband der Sozialversicherungsträger,Dachverband der Sozialversicherungsträger,,,Kundmanngasse 21,Wien,,1030,Wien,AUSTRIA,,,sozialversicherung_bund_24_20-08-2020,,,posteingang.allgemein@sozialversicherung.at,"Phone: +431711320, Fax: ",,,,,,,,,,,,
